zip,location,sent,volume,cost,date_closed,date_requested,project_id
5408,S. Burlington,Y,"4,659","1,646.13",4/23/21,4/8/21,36527
5401,Burlington,Y,"15,153","3,374.57",6/29/21,6/18/21,36528
5403,S. Burlington,Y,"10,658","2,218.84",8/25/21,8/16/21,36526
5404,Winooski,Y,"4,020",854.34,8/25/21,8/16/21,36526
5443,"Ripton, Starksboro, Monkton, Bristol, Lincoln",Y,"3,076",673.09,8/25/21,8/16/21,36526
5454,Fairfax-Georgia,Y,"2,193",469.81,8/25/21,8/16/21,36526
5465,Jericho,Y,"2,427",514.73,8/25/21,8/16/21,36526
5491,Addison-Vergennes,Y,"2,946",636.88,8/25/21,8/16/21,36526
5452,Essex,Y,"10,000","2,070",9/13/21,8/23/21,36527
5461,Hinesburg- Monkton,Y,"2,272",517.32,9/13/21,8/23/21,36527
5468,Milton,Y,"5,961","1,245.51",9/13/21,8/23/21,36527
5489,Underhill,Y,"1,343",317.86,9/13/21,8/23/21,36527
5495,Williston,Y,"5,924","1,242.41",9/13/21,8/23/21,36527
5446,Colchester,Y,"8,057","1,724.46",9/23/21,8/31/21,36528
5463,Alburg-Isle Lamotte,Y,365,106.37,9/23/21,8/31/21,36528
5473,Ferrisburgh,Y,744,209.54,9/23/21,8/31/21,36528
5477,Richmond,Y,"2,165",517.67,9/23/21,8/31/21,36528
5478,St.Albans-Georgia,Y,"7,977","1,708.38",9/23/21,8/31/21,36528
5753,Bridport- Middlebury,Y,"4,660","1,211.02",9/23/21,9/14/21,36528
5401,Burlington,Y,"15,153","3,374.57",6/29/21,12/8/21,36532
5403,S. Burlington,Y,"10,658","2,218.84",8/25/21,12/8/21,36533
5404,Winooski,Y,"4,020",854.34,8/25/21,12/8/21,36532
5408,S. Burlington,Y,"4,659","1,646.13",4/23/21,12/8/21,36533
5446,Colchester,Y,"8,057","1,724.46",9/23/21,12/8/21,36533
5468,Milton,Y,"5,961","1,245.51",9/13/21,12/8/21,36534
5478,St.Albans-Georgia,Y,"7,977","1,708.38",9/23/21,12/8/21,36534
5401,Burlington,Y,"15,452","3,570.85",1/31/22,12/13/21,36532
5403,S. Burlington,Y,10691,2321.39,3/8/22,12/13/21,36533
5404,Winooski,Y,4041,894.74,1/13/22,12/13/21,36532
5408,S. Burlington,Y,"4,663","1,042.26",1/31/22,12/13/21,36533
5446,Colchester,Y,8146,1742.35,3/8/22,12/13/21,36533
5468,Milton,Y,"5,940","1,298.94",1/14/22,12/13/21,36534
5478,St.Albans-Georgia,Y,8021,"1,762.22",3/8/22,12/13/21,36534
5401,Burlington,Y,"15,440","3,722.44",3/30/22,3/21/22,36534
5403,S. Burlington,Y,"10,737","2,595.51",3/30/22,3/21/22,36533
5446,Colchester,Y,"8,159","1,894.05",3/30/22,3/21/22,36532
5452,Essex,Y,"10,228","2,398.11",3/30/22,3/21/22,36532
5401,Burlington,Y,"15,440",,,4/1/22,
5403,S.Burlington,Y,,,,4/1/22,
