"redcap_id","recruit_date","source","recruit_int_summ","ps_proj_eligible","screened","sl_status","randomized","complete","rand_proj"
"67",2021-05-24,"other_person","ineligible","ineligible","not screened",NA,"not randomized","not complete","not randomized"
"69",2021-05-25,"other","ineligible","ineligible","not screened",NA,"not randomized","not complete","not randomized"
"70",2021-05-25,"facebook","ineligible","ineligible","not screened",NA,"not randomized","not complete","not randomized"
"76",2021-05-25,"facebook","ineligible","ineligible","not screened",NA,"not randomized","not complete","not randomized"
"77",2021-05-26,"facebook","ineligible","ineligible","not screened",NA,"not randomized","not complete","not randomized"
"78",2021-05-27,"facebook","ineligible","ineligible","not screened",NA,"not randomized","not complete","not randomized"
"80",2021-05-27,"facebook","ineligible","ineligible","not screened",NA,"not randomized","not complete","not randomized"
"81",2021-05-27,"facebook","ineligible","ineligible","not screened",NA,"not randomized","not complete","not randomized"
"82",2021-05-27,"facebook","ineligible","ineligible","not screened",NA,"not randomized","not complete","not randomized"
"85",2021-05-26,"clin_trials_web","ineligible","ineligible","not screened",NA,"not randomized","not complete","not randomized"
"87",2021-05-27,"other_person","ineligible","ineligible","not screened",NA,"not randomized","not complete","not randomized"
"89",2021-05-28,"facebook","ineligible","ineligible","not screened",NA,"not randomized","not complete","not randomized"
"91",2021-05-28,"google","ineligible","ineligible","not screened",NA,"not randomized","not complete","not randomized"
"93",2021-05-29,"facebook","ineligible","ineligible","not screened",NA,"not randomized","not complete","not randomized"
"94",2021-05-29,"front_porch_forum","ineligible","ineligible","not screened",NA,"not randomized","not complete","not randomized"
"97",2021-05-31,"other_person","ineligible","ineligible","not screened",NA,"not randomized","not complete","not randomized"
"99",2021-06-01,"facebook","ineligible","ineligible","not screened",NA,"not randomized","not complete","not randomized"
"102",2021-06-01,"facebook","ineligible","ineligible","not screened",NA,"not randomized","not complete","not randomized"
"104",2021-06-03,"other_person","ineligible","ineligible","not screened",NA,"not randomized","not complete","not randomized"
"106",2021-06-03,"google","ineligible","ineligible","not screened",NA,"not randomized","not complete","not randomized"
"107",2021-03-06,"google","ineligible","ineligible","not screened",NA,"not randomized","not complete","not randomized"
"110",2021-06-05,"facebook","ineligible","ineligible","not screened",NA,"not randomized","not complete","not randomized"
"112",2021-06-06,"facebook","ineligible","ineligible","not screened",NA,"not randomized","not complete","not randomized"
"113",2021-06-06,"facebook","ineligible","ineligible","not screened",NA,"not randomized","not complete","not randomized"
"115",2021-06-06,"facebook","ineligible","ineligible","not screened",NA,"not randomized","not complete","not randomized"
"118",2021-06-06,"front_porch_forum","ineligible","ineligible","not screened",NA,"not randomized","not complete","not randomized"
"120",2021-06-07,"facebook","ineligible","ineligible","not screened",NA,"not randomized","not complete","not randomized"
"125",2021-06-08,"facebook","ineligible","ineligible","not screened",NA,"not randomized","not complete","not randomized"
"129",2021-06-08,"other_person","ineligible","ineligible","not screened",NA,"not randomized","not complete","not randomized"
"130",2021-06-08,"other_person","ineligible","ineligible","not screened",NA,"not randomized","not complete","not randomized"
"131",2021-06-09,"other_person","ineligible","ineligible","not screened",NA,"not randomized","not complete","not randomized"
"134",2021-06-09,"facebook","ineligible","ineligible","not screened",NA,"not randomized","not complete","not randomized"
"136",2021-06-09,"craigslist","ineligible","ineligible","not screened",NA,"not randomized","not complete","not randomized"
"138",2021-06-10,"flyer","ineligible","ineligible","not screened",NA,"not randomized","not complete","not randomized"
"139",2021-06-10,"facebook","ineligible","ineligible","not screened",NA,"not randomized","not complete","not randomized"
"142",2021-06-10,"facebook","ineligible","ineligible","not screened",NA,"not randomized","not complete","not randomized"
"146",2021-06-11,"facebook","ineligible","ineligible","not screened",NA,"not randomized","not complete","not randomized"
"155",2021-06-12,"facebook","ineligible","ineligible","not screened",NA,"not randomized","not complete","not randomized"
"156",2021-06-12,"front_porch_forum","ineligible","ineligible","not screened",NA,"not randomized","not complete","not randomized"
"157",2021-06-13,"facebook","ineligible","ineligible","not screened",NA,"not randomized","not complete","not randomized"
"159",2021-06-13,"facebook","ineligible","ineligible","not screened",NA,"not randomized","not complete","not randomized"
"160",2021-06-13,"facebook","ineligible","ineligible","not screened",NA,"not randomized","not complete","not randomized"
"163",2021-06-13,"facebook","ineligible","ineligible","not screened",NA,"not randomized","not complete","not randomized"
"167",2021-06-14,"facebook","ineligible","ineligible","not screened",NA,"not randomized","not complete","not randomized"
"168",2021-06-14,"google","ineligible","ineligible","not screened",NA,"not randomized","not complete","not randomized"
