"zip_id","city_id"
5401,"burlington"
95401,"burlington"
5403,"south burlington"
5443,"bristol"
5491,"vergennes"
5404,"winooski"
5464,"jeffersonville"
5452,"essex"
5491,"addison"
5452,"essex junction"
5495,"williston"
5468,"milton"
5446,"colchester"
5440,"winooski"
5473,"north ferrisburgh"
5478,"saint albans"
5478,"st.albans"
5478,"georgia"
5753,"middlebury"
5641,"barre"
5408,"burlington"
5445,"charlotte"
5488,"swanton"
12901,"plattsburgh"
5461,"hinesburg"
5661,"morrisville"
5408,"burlinton"
4101,"portland"
5060,"randolph"
12883,"ticonderoga"
92203,"indio"
5819,"st. johnsbury"
12975,"port kent"
7718,"belford"
5482,"shelburne"
5401,"burlinton"
5454,"fairfax"
5465,"jericho"
5452,"essex jct"
5401,"essex junction"
5447,"colchester"
5477,"richmond"
5478,"st. albans"
5753,"cornwall"
5483,"sheldon"
5478,"st albans"
12958,"mooers"
5679,"williamstown"
5667,"plainfield"
